year,round,college_code,college_name,branch_code,branch_name,college_status,college_home_university,seat_pool,category,stage,cutoff_rank,cutoff_percentile
2025,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GOPENS,I,31618,90.6688280
2025,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GSCS,I,53254,84.0359888
2025,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GNT1S,I,49466,85.1919561
2025,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GSEBCS,I,73539,77.1618860
2025,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,LSCS,I,41066,87.9159305
2025,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,LSEBCS,I,91727,70.6189283
2025,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,GOPENS,I,10017,97.1220006
2025,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,GOBCS,I,11290,96.7783105
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GOPENS,I,13634,96.0780932
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GVJS,I,26351,92.3341523
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GNT2S,I,23636,93.1055879
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GOBCS,I,14798,95.7536628
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,LOPENS,I,12774,96.3424067
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,LOBCS,I,15087,95.6472486
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,TFWS,I,14372,95.8681150
2025,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,EWS,I,18334,94.7364547
2025,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GOPENS,I,27004,92.0769231
2025,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GSCS,I,29152,91.4450061
2025,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GSEBCS,I,50107,85.0571556
2025,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,LOPENS,I,24597,92.8376317
2025,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,LOBCS,I,26902,92.1231015
2025,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,DEFOPENS,I,64751,80.3531469
