year,round,college_code,college_name,branch_code,branch_name,college_status,college_home_university,seat_pool,category,stage,cutoff_rank,cutoff_percentile
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GOPENS,I,33717,88.6037289
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GSCS,I,61041,78.5613347
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GNT3S,I,67451,76.1358545
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GSEBCS,I,83123,69.7604398
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,LSCS,I,50493,82.7086811
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,LVJS,I,52977,81.7098306
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,EWS,I,115797,53.7424491
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,GSCS,I,11323,96.2437396
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,GSEBCS,I,17059,94.3331807
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,LOPENS,I,7985,97.3461799
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,LSEBCS,I,21791,92.7108008
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,TFWS,I,9964,96.7229568
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,PWDROBC,I,96341,63.2687832
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,EWS,I,15308,94.8964961
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GOBCS,I,8917,97.0497898
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GSEBCS,I,24057,91.9492948
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,LOPENS,I,11969,96.0392321
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,LSEBCS,I,24708,91.7849899
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,TFWS,I,13259,95.6320635
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,EWS,I,19241,93.6359026
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GOPENS,I,24135,91.9393058
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GNT2S,I,50339,82.7086811
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,LNT1S,I,44865,84.5731157
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,TFWS,I,12755,95.7978793
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,EWS,I,75966,72.7750912
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GOPENS,I,18608,93.8492553
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GSTS,I,47245,83.7440631
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GOBCS,I,19635,93.4557596
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GSEBCS,I,30760,89.5917850
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,LOPENS,I,14790,95.0547190
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,LVJS,I,66354,76.5404634
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,LSEBCS,I,44066,84.8482325
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,TFWS,I,21632,92.7704421
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,EWS,I,28139,90.5124049
2024,3,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,GOPENS,I,34174,88.5013511
2024,3,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,LOBCS,I,32099,89.1945571
2024,3,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,GOPENS,I,31514,89.3223371
2024,3,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,GSCS,I,62783,77.8445199
2024,3,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,GVJS,I,67622,76.1268781
2024,3,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,LOPENS,I,38944,86.7801974
2024,3,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,LSCS,I,64534,77.2074577
